Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating,Project Description
Germany,2849,0,24,Onshore,0,2006,ABO Wind,32616000,6.766666667,,,1.577432156,2.939437389,3.855736152,65.75402,21,"Evaluate the probability of success for a 24.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2006, with a cost of 32616000.0 GBP and is owned by ABO Wind. The project is onshore, and the average annual wind speed is 6.767 m/s. Germany has a credit rating of 21/21, with a GDP growth of 3.856% and 65.754% of its GDP in debt. The inflation rate is 1.577 and the energy inflation rate is 2.939."
Russia,728,0,60,Onshore,0,2023,JSC VetroOGK,81540000,6.9,,,5.859,0,3.6,19.5459,2,"Evaluate the probability of success for a 60.0 MW Onshore wind farm in Russia. It is a single phase project beginning in 2023, with a cost of 81540000.0 GBP and is owned by JSC VetroOGK. The project is onshore, and the average annual wind speed is 6.900 m/s. Russia has a credit rating of 2/21, with a GDP growth of 3.600% and 19.546% of its GDP in debt. The inflation rate is 5.859 and the energy inflation rate is 0.000."
Spain,111,0,329.2,Onshore,0,2022,Enlight Renewable Energy,447382800,5.67,,,8.390576,29.4164652,6.179312226,109.4039,16,"Evaluate the probability of success for a 329.2 MW Onshore wind farm in Spain. It is a single phase project beginning in 2022, with a cost of 447382800.0 GBP and is owned by Enlight Renewable Energy. The project is onshore, and the average annual wind speed is 5.670 m/s. Spain has a credit rating of 16/21, with a GDP growth of 6.179% and 109.404% of its GDP in debt. The inflation rate is 8.391 and the energy inflation rate is 29.416."
Norway,697,0,65,Onshore,1,2008,Statkraft AS,88335000,6.306666667,,,3.753922939,6.826536655,0.481919541,47.54502,21,"Evaluate the probability of success for a 65.0 MW Onshore wind farm in Norway. It is a single phase project beginning in 2008, with a cost of 88335000.0 GBP and is owned by Statkraft AS. The project is onshore, and the average annual wind speed is 6.307 m/s. Norway has a credit rating of 21/21, with a GDP growth of 0.482% and 47.545% of its GDP in debt. The inflation rate is 3.754 and the energy inflation rate is 6.827."
France,1289,1,44,Onshore,0,2017,Innergex Renewable Energy ; Desjardins Group Pension Plan,59796000,5.296666667,,,1.163,1.601827264,2.083614851,98.48331,19,"Evaluate the probability of success for a 44.0 MW Onshore wind farm in France. It is a multi phase project beginning in 2017, with a cost of 59796000.0 GBP and is owned by Innergex Renewable Energy  and  Desjardins Group Pension Plan. The project is onshore, and the average annual wind speed is 5.297 m/s. France has a credit rating of 19/21, with a GDP growth of 2.084% and 98.483% of its GDP in debt. The inflation rate is 1.163 and the energy inflation rate is 1.602."
Spain,1465,0,40,Onshore,0,2019,Enel,54360000,6.68,,,0.699999988,-1.237797976,1.961178532,97.57882,16,"Evaluate the probability of success for a 40.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2019, with a cost of 54360000.0 GBP and is owned by Enel. The project is onshore, and the average annual wind speed is 6.680 m/s. Spain has a credit rating of 16/21, with a GDP growth of 1.961% and 97.579% of its GDP in debt. The inflation rate is 0.700 and the energy inflation rate is -1.238."
United Kingdom,3689,0,18,Onshore,0,2017,JLEN Environmental Assets Group,24462000,7.553333333,,,2.683,2.041315317,2.656504893,86.72315,19,"Evaluate the probability of success for a 18.0 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2017, with a cost of 24462000.0 GBP and is owned by JLEN Environmental Assets Group. The project is onshore, and the average annual wind speed is 7.553 m/s. United Kingdom has a credit rating of 19/21, with a GDP growth of 2.657% and 86.723% of its GDP in debt. The inflation rate is 2.683 and the energy inflation rate is 2.041."
Sweden,289,0,144,Onshore,0,2015,Nordisk Vindkraft,195696000,3.98,,,-0.046784438,4.599999905,4.410140676,44.03559,21,"Evaluate the probability of success for a 144.0 MW Onshore wind farm in Sweden. It is a single phase project beginning in 2015, with a cost of 195696000.0 GBP and is owned by Nordisk Vindkraft. The project is onshore, and the average annual wind speed is 3.980 m/s. Sweden has a credit rating of 21/21, with a GDP growth of 4.410% and 44.036% of its GDP in debt. The inflation rate is -0.047 and the energy inflation rate is 4.600."
Sweden,1545,0,39,Onshore,0,2020,Eolus Vind AB,53001000,4.766666667,,,0.497367319,-0.12742566,-2.005337504,40.31189,21,"Evaluate the probability of success for a 39.0 MW Onshore wind farm in Sweden. It is a single phase project beginning in 2020, with a cost of 53001000.0 GBP and is owned by Eolus Vind AB. The project is onshore, and the average annual wind speed is 4.767 m/s. Sweden has a credit rating of 21/21, with a GDP growth of -2.005% and 40.312% of its GDP in debt. The inflation rate is 0.497 and the energy inflation rate is -0.127."
Norway,1012,0,50,Onshore,1,2004,Zephyr AS,67950000,5.743333333,,,0.454491556,0.240770549,4.014588017,43.82903,21,"Evaluate the probability of success for a 50.0 MW Onshore wind farm in Norway. It is a single phase project beginning in 2004, with a cost of 67950000.0 GBP and is owned by Zephyr AS. The project is onshore, and the average annual wind speed is 5.743 m/s. Norway has a credit rating of 21/21, with a GDP growth of 4.015% and 43.829% of its GDP in debt. The inflation rate is 0.454 and the energy inflation rate is 0.241."
Spain,2206,1,30,Onshore,0,2008,Enel,40770000,5.466666667,,,4.07565403,6.641723633,0.767165775,39.6088,21,"Evaluate the probability of success for a 30.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in 2008, with a cost of 40770000.0 GBP and is owned by Enel. The project is onshore, and the average annual wind speed is 5.467 m/s. Spain has a credit rating of 21/21, with a GDP growth of 0.767% and 39.609% of its GDP in debt. The inflation rate is 4.076 and the energy inflation rate is 6.642."
United Kingdom,547,0,81.6,Onshore,1,2014,Community Windpower,110894400,7.853333333,,,1.425663471,1.997074246,3.194637313,87.09433,21,"Evaluate the probability of success for a 81.6 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2014, with a cost of 110894400.0 GBP and is owned by Community Windpower. The project is onshore, and the average annual wind speed is 7.853 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 3.195% and 87.094% of its GDP in debt. The inflation rate is 1.426 and the energy inflation rate is 1.997."
Denmark,4009,0,17,Onshore,0,2002,Vattenfall AB,23103000,7.39,,,2.424431324,2.88997817,0.456529991,49.03895,21,"Evaluate the probability of success for a 17.0 MW Onshore wind farm in Denmark. It is a single phase project beginning in 2002, with a cost of 23103000.0 GBP and is owned by Vattenfall AB. The project is onshore, and the average annual wind speed is 7.390 m/s. Denmark has a credit rating of 21/21, with a GDP growth of 0.457% and 49.039% of its GDP in debt. The inflation rate is 2.424 and the energy inflation rate is 2.890."
France,2538,0,26,Onshore,0,2013,Terravent Deutschland GMBH,35334000,6.006666667,,,0.863710403,2.433341503,0.781756446,94.68683,19,"Evaluate the probability of success for a 26.0 MW Onshore wind farm in France. It is a single phase project beginning in 2013, with a cost of 35334000.0 GBP and is owned by Terravent Deutschland GMBH. The project is onshore, and the average annual wind speed is 6.007 m/s. France has a credit rating of 19/21, with a GDP growth of 0.782% and 94.687% of its GDP in debt. The inflation rate is 0.864 and the energy inflation rate is 2.433."
Italy,3418,1,20,Onshore,0,2011,CEF,27180000,5.2,,,2.780637741,5.178144455,0.695463129,119.1057,16,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in Italy. It is a multi phase project beginning in 2011, with a cost of 27180000.0 GBP and is owned by CEF. The project is onshore, and the average annual wind speed is 5.200 m/s. Italy has a credit rating of 16/21, with a GDP growth of 0.695% and 119.106% of its GDP in debt. The inflation rate is 2.781 and the energy inflation rate is 5.178."
Spain,2890,1,24,Onshore,0,1999,Acciona ; Med Wind,32616000,5.556666667,,,2.310335398,2.129180193,4.408865512,60.85314,20,"Evaluate the probability of success for a 24.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in 1999, with a cost of 32616000.0 GBP and is owned by Acciona  and  Med Wind. The project is onshore, and the average annual wind speed is 5.557 m/s. Spain has a credit rating of 20/21, with a GDP growth of 4.409% and 60.853% of its GDP in debt. The inflation rate is 2.310 and the energy inflation rate is 2.129."
Finland,1900,0,33.7,Onshore,0,-,Suomen Hyotytuuli Oy,45798300,4.895217391,,,,,,,,"Evaluate the probability of success for a 33.7 MW Onshore wind farm in Finland. It is a single phase project beginning in an unknwon year, with a cost of 45798300.0 GBP and is owned by Suomen Hyotytuuli Oy. The project is onshore."
Portugal,4664,0,14,Onshore,0,2008,Acciona,19026000,3.703333333,,,2.588508606,3.948156595,0.319247162,75.64259,18,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in Portugal. It is a single phase project beginning in 2008, with a cost of 19026000.0 GBP and is owned by Acciona. The project is onshore, and the average annual wind speed is 3.703 m/s. Portugal has a credit rating of 18/21, with a GDP growth of 0.319% and 75.643% of its GDP in debt. The inflation rate is 2.589 and the energy inflation rate is 3.948."
Greece,2326,0,28.8,Onshore,0,2019,Viotia Aiolos LLC,39139200,4.943333333,,,0.51700002,-0.480481893,2.277180636,185.5363,9,"Evaluate the probability of success for a 28.8 MW Onshore wind farm in Greece. It is a single phase project beginning in 2019, with a cost of 39139200.0 GBP and is owned by Viotia Aiolos LLC. The project is onshore, and the average annual wind speed is 4.943 m/s. Greece has a credit rating of 9/21, with a GDP growth of 2.277% and 185.536% of its GDP in debt. The inflation rate is 0.517 and the energy inflation rate is -0.480."
Spain,4452,1,15,Onshore,0,-,Grupo Enhol,20385000,5.869130435,,,,,,,,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in an unknwon year, with a cost of 20385000.0 GBP and is owned by Grupo Enhol. The project is onshore."
Germany,1933,0,33,Onshore,0,2016,ABO Wind,44847000,6.59,,,0.491744995,0,2.294710677,67.63065,21,"Evaluate the probability of success for a 33.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2016, with a cost of 44847000.0 GBP and is owned by ABO Wind. The project is onshore, and the average annual wind speed is 6.590 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.295% and 67.631% of its GDP in debt. The inflation rate is 0.492 and the energy inflation rate is 0.000."
Greece,1538,0,39.2,Onshore,1,?,GR Wind,53272800,,,,,,,,,"Evaluate the probability of success for a 39.2 MW Onshore wind farm in Greece. It is a single phase project beginning in an unknwon year, with a cost of 53272800.0 GBP and is owned by GR Wind. The project is onshore."
Greece,4951,0,12,Onshore,1,?,Themeli SA,16308000,,,,,,,,,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Greece. It is a single phase project beginning in an unknwon year, with a cost of 16308000.0 GBP and is owned by Themeli SA. The project is onshore."
United Kingdom,1317,1,43.7,Onshore,0,2014,ScottishPower Renewables,59388300,8.98,,,1.425663471,1.997074246,3.194637313,87.09433,21,"Evaluate the probability of success for a 43.7 MW Onshore wind farm in United Kingdom. It is a multi phase project beginning in 2014, with a cost of 59388300.0 GBP and is owned by ScottishPower Renewables. The project is onshore, and the average annual wind speed is 8.980 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 3.195% and 87.094% of its GDP in debt. The inflation rate is 1.426 and the energy inflation rate is 1.997."
Norway,2158,0,30,Onshore,1,2014,Lyse Produksjon AS,40770000,5.856666667,,,2.041705608,1.291266203,2.048131999,29.66098,21,"Evaluate the probability of success for a 30.0 MW Onshore wind farm in Norway. It is a single phase project beginning in 2014, with a cost of 40770000.0 GBP and is owned by Lyse Produksjon AS. The project is onshore, and the average annual wind speed is 5.857 m/s. Norway has a credit rating of 21/21, with a GDP growth of 2.048% and 29.661% of its GDP in debt. The inflation rate is 2.042 and the energy inflation rate is 1.291."
Ireland,2652,0,25,Onshore,0,2017,GLIL Infrastructure,33975000,8.39,,,0.251,2.02969408,10.04962854,65.23382,16,"Evaluate the probability of success for a 25.0 MW Onshore wind farm in Ireland. It is a single phase project beginning in 2017, with a cost of 33975000.0 GBP and is owned by GLIL Infrastructure. The project is onshore, and the average annual wind speed is 8.390 m/s. Ireland has a credit rating of 16/21, with a GDP growth of 10.050% and 65.234% of its GDP in debt. The inflation rate is 0.251 and the energy inflation rate is 2.030."
Germany,5178,0,12,Onshore,0,2013,Jura Energy,16308000,5.623333333,,,1.504725099,1.971489668,0.386224576,76.79466,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2013, with a cost of 16308000.0 GBP and is owned by Jura Energy. The project is onshore, and the average annual wind speed is 5.623 m/s. Germany has a credit rating of 21/21, with a GDP growth of 0.386% and 76.795% of its GDP in debt. The inflation rate is 1.505 and the energy inflation rate is 1.971."
Germany,6018,1,10,Onshore,0,2009,Denker & Wulf AG,13590000,6.603333333,,,0.312738299,0.419552684,-5.545164538,71.71568,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2009, with a cost of 13590000.0 GBP and is owned by Denker & Wulf AG. The project is onshore, and the average annual wind speed is 6.603 m/s. Germany has a credit rating of 21/21, with a GDP growth of -5.545% and 71.716% of its GDP in debt. The inflation rate is 0.313 and the energy inflation rate is 0.420."
France,5175,0,12,Onshore,0,2013,Valorem,16308000,5.84,,,0.863710403,2.433341503,0.781756446,94.68683,19,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2013, with a cost of 16308000.0 GBP and is owned by Valorem. The project is onshore, and the average annual wind speed is 5.840 m/s. France has a credit rating of 19/21, with a GDP growth of 0.782% and 94.687% of its GDP in debt. The inflation rate is 0.864 and the energy inflation rate is 2.433."
Greece,3301,0,20,Onshore,1,?,Aspre Petra SA,27180000,,,,,,,,,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in Greece. It is a single phase project beginning in an unknwon year, with a cost of 27180000.0 GBP and is owned by Aspre Petra SA. The project is onshore."
France,5245,0,12,Onshore,0,2011,Omnes Capital,16308000,6.13,,,2.111598015,4.445785046,2.437576569,88.9102,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2011, with a cost of 16308000.0 GBP and is owned by Omnes Capital. The project is onshore, and the average annual wind speed is 6.130 m/s. France has a credit rating of 21/21, with a GDP growth of 2.438% and 88.910% of its GDP in debt. The inflation rate is 2.112 and the energy inflation rate is 4.446."
France,2920,0,23,Onshore,0,2022,RWE AG,31257000,6.09,,,5.222367,23.73546019,2.570840474,111.9513,19,"Evaluate the probability of success for a 23.0 MW Onshore wind farm in France. It is a single phase project beginning in 2022, with a cost of 31257000.0 GBP and is owned by RWE AG. The project is onshore, and the average annual wind speed is 6.090 m/s. France has a credit rating of 19/21, with a GDP growth of 2.571% and 111.951% of its GDP in debt. The inflation rate is 5.222 and the energy inflation rate is 23.735."
Spain,5670,1,11,Onshore,0,-,Fomentos de Construcciones y Contratas (FCC),14949000,4.61173913,,,,,,,,"Evaluate the probability of success for a 11.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in an unknwon year, with a cost of 14949000.0 GBP and is owned by Fomentos de Construcciones y Contratas (FCC). The project is onshore."
Germany,5466,1,12,Onshore,0,2002,Ostwind,16308000,6.183333333,,,1.420809388,0.910149872,-0.228310249,59.26526,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2002, with a cost of 16308000.0 GBP and is owned by Ostwind. The project is onshore, and the average annual wind speed is 6.183 m/s. Germany has a credit rating of 21/21, with a GDP growth of -0.228% and 59.265% of its GDP in debt. The inflation rate is 1.421 and the energy inflation rate is 0.910."
France,2763,0,24,Onshore,0,2017,Windvision,32616000,5.93,,,1.163,1.601827264,2.083614851,98.48331,19,"Evaluate the probability of success for a 24.0 MW Onshore wind farm in France. It is a single phase project beginning in 2017, with a cost of 32616000.0 GBP and is owned by Windvision. The project is onshore, and the average annual wind speed is 5.930 m/s. France has a credit rating of 19/21, with a GDP growth of 2.084% and 98.483% of its GDP in debt. The inflation rate is 1.163 and the energy inflation rate is 1.602."
Portugal,3736,1,18,Onshore,0,2013,Finerge SA,24462000,6.373333333,,,0.27442205,2.149289131,-0.984106758,131.4297,9,"Evaluate the probability of success for a 18.0 MW Onshore wind farm in Portugal. It is a multi phase project beginning in 2013, with a cost of 24462000.0 GBP and is owned by Finerge SA. The project is onshore, and the average annual wind speed is 6.373 m/s. Portugal has a credit rating of 9/21, with a GDP growth of -0.984% and 131.430% of its GDP in debt. The inflation rate is 0.274 and the energy inflation rate is 2.149."
France,5036,0,12,Onshore,0,2017,Ostwind,16308000,5.626666667,,,1.163,1.601827264,2.083614851,98.48331,19,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2017, with a cost of 16308000.0 GBP and is owned by Ostwind. The project is onshore, and the average annual wind speed is 5.627 m/s. France has a credit rating of 19/21, with a GDP growth of 2.084% and 98.483% of its GDP in debt. The inflation rate is 1.163 and the energy inflation rate is 1.602."
Germany,2472,0,27,Onshore,0,2014,H & N Burgerwind GMBH,36693000,7.6,,,0.90679872,0.845330298,2.169498929,73.82303,21,"Evaluate the probability of success for a 27.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2014, with a cost of 36693000.0 GBP and is owned by H & N Burgerwind GMBH. The project is onshore, and the average annual wind speed is 7.600 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.169% and 73.823% of its GDP in debt. The inflation rate is 0.907 and the energy inflation rate is 0.845."
Bulgaria,959,1,50,Onshore,0,2010,Energie Versorgung Niederosterreich AG ; Enertrag LTD,67950000,5.873333333,,,2.443273544,0.482104659,1.555359635,22.1016,13,"Evaluate the probability of success for a 50.0 MW Onshore wind farm in Bulgaria. It is a multi phase project beginning in 2010, with a cost of 67950000.0 GBP and is owned by Energie Versorgung Niederosterreich AG  and  Enertrag LTD. The project is onshore, and the average annual wind speed is 5.873 m/s. Bulgaria has a credit rating of 13/21, with a GDP growth of 1.555% and 22.102% of its GDP in debt. The inflation rate is 2.443 and the energy inflation rate is 0.482."
Denmark,4373,0,15,Onshore,0,2011,Community Owners - Vester Barde Vinkraft I/S; Wind Estate A/S,20385000,7.78,,,2.758678913,3.84332943,1.310803779,46.02907,21,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in Denmark. It is a single phase project beginning in 2011, with a cost of 20385000.0 GBP and is owned by Community Owners - Vester Barde Vinkraft I/S and  Wind Estate A/S. The project is onshore, and the average annual wind speed is 7.780 m/s. Denmark has a credit rating of 21/21, with a GDP growth of 1.311% and 46.029% of its GDP in debt. The inflation rate is 2.759 and the energy inflation rate is 3.843."
Spain,1008,0,50,Onshore,0,2005,Ecotecnica,67950000,5.066666667,,,3.368458509,5.324462414,3.551225515,42.39519,21,"Evaluate the probability of success for a 50.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2005, with a cost of 67950000.0 GBP and is owned by Ecotecnica. The project is onshore, and the average annual wind speed is 5.067 m/s. Spain has a credit rating of 21/21, with a GDP growth of 3.551% and 42.395% of its GDP in debt. The inflation rate is 3.368 and the energy inflation rate is 5.324."
Netherlands,3562,0,19,Offshore hard mount,0,2021,Octopus,52335899,8.796666667,63.78,26.91,2.67572,17.2592,6.276830732,50.43565,21,"Evaluate the probability of success for a 19.0 MW Offshore hard mount wind farm in Netherlands. It is a single phase project beginning in 2021, with a cost of 52335899.0 GBP and is owned by Octopus. The project is 63.78 km from shore at a depth of 26.91 meters, and the average annual wind speed is 8.797 m/s. Netherlands has a credit rating of 21/21, with a GDP growth of 6.277% and 50.436% of its GDP in debt. The inflation rate is 2.676 and the energy inflation rate is 17.259."
