Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
France,1289,1,44,Onshore,0,2017,Innergex Renewable Energy ; Desjardins Group Pension Plan,59796000,5.296666667,,,1.163,1.601827264,2.083614851,98.48331,19
Spain,1465,0,40,Onshore,0,2019,Enel,54360000,6.68,,,0.699999988,-1.237797976,1.961178532,97.57882,16
United Kingdom,3689,0,18,Onshore,0,2017,JLEN Environmental Assets Group,24462000,7.553333333,,,2.683,2.041315317,2.656504893,86.72315,19
Sweden,289,0,144,Onshore,0,2015,Nordisk Vindkraft,195696000,3.98,,,-0.046784438,4.599999905,4.410140676,44.03559,21
Sweden,1545,0,39,Onshore,0,2020,Eolus Vind AB,53001000,4.766666667,,,0.497367319,-0.12742566,-2.005337504,40.31189,21
Norway,1012,0,50,Onshore,1,2004,Zephyr AS,67950000,5.743333333,,,0.454491556,0.240770549,4.014588017,43.82903,21
Spain,2206,1,30,Onshore,0,2008,Enel,40770000,5.466666667,,,4.07565403,6.641723633,0.767165775,39.6088,21
United Kingdom,547,0,81.6,Onshore,1,2014,Community Windpower,110894400,7.853333333,,,1.425663471,1.997074246,3.194637313,87.09433,21
Denmark,4009,0,17,Onshore,0,2002,Vattenfall AB,23103000,7.39,,,2.424431324,2.88997817,0.456529991,49.03895,21
France,2538,0,26,Onshore,0,2013,Terravent Deutschland GMBH,35334000,6.006666667,,,0.863710403,2.433341503,0.781756446,94.68683,19
Italy,3418,1,20,Onshore,0,2011,CEF,27180000,5.2,,,2.780637741,5.178144455,0.695463129,119.1057,16
Spain,2890,1,24,Onshore,0,1999,Acciona ; Med Wind,32616000,5.556666667,,,2.310335398,2.129180193,4.408865512,60.85314,20
Finland,1900,0,33.7,Onshore,0,-,Suomen Hyotytuuli Oy,45798300,4.895217391,,,,,,,
Portugal,4664,0,14,Onshore,0,2008,Acciona,19026000,3.703333333,,,2.588508606,3.948156595,0.319247162,75.64259,18
Greece,2326,0,28.8,Onshore,0,2019,Viotia Aiolos LLC,39139200,4.943333333,,,0.51700002,-0.480481893,2.277180636,185.5363,9
Spain,4452,1,15,Onshore,0,-,Grupo Enhol,20385000,5.869130435,,,,,,,
Germany,1933,0,33,Onshore,0,2016,ABO Wind,44847000,6.59,,,0.491744995,0,2.294710677,67.63065,21
Greece,1538,0,39.2,Onshore,1,?,GR Wind,53272800,,,,,,,,
Greece,4951,0,12,Onshore,1,?,Themeli SA,16308000,,,,,,,,
United Kingdom,1317,1,43.7,Onshore,0,2014,ScottishPower Renewables,59388300,8.98,,,1.425663471,1.997074246,3.194637313,87.09433,21
Norway,2158,0,30,Onshore,1,2014,Lyse Produksjon AS,40770000,5.856666667,,,2.041705608,1.291266203,2.048131999,29.66098,21
Ireland,2652,0,25,Onshore,0,2017,GLIL Infrastructure,33975000,8.39,,,0.251,2.02969408,10.04962854,65.23382,16
Germany,5178,0,12,Onshore,0,2013,Jura Energy,16308000,5.623333333,,,1.504725099,1.971489668,0.386224576,76.79466,21
Germany,6018,1,10,Onshore,0,2009,Denker & Wulf AG,13590000,6.603333333,,,0.312738299,0.419552684,-5.545164538,71.71568,21
France,5175,0,12,Onshore,0,2013,Valorem,16308000,5.84,,,0.863710403,2.433341503,0.781756446,94.68683,19
Greece,3301,0,20,Onshore,1,?,Aspre Petra SA,27180000,,,,,,,,
France,5245,0,12,Onshore,0,2011,Omnes Capital,16308000,6.13,,,2.111598015,4.445785046,2.437576569,88.9102,21
France,2920,0,23,Onshore,0,2022,RWE AG,31257000,6.09,,,5.222367,23.73546019,2.570840474,111.9513,19
Spain,5670,1,11,Onshore,0,-,Fomentos de Construcciones y Contratas (FCC),14949000,4.61173913,,,,,,,
Germany,5466,1,12,Onshore,0,2002,Ostwind,16308000,6.183333333,,,1.420809388,0.910149872,-0.228310249,59.26526,21
France,2763,0,24,Onshore,0,2017,Windvision,32616000,5.93,,,1.163,1.601827264,2.083614851,98.48331,19
Portugal,3736,1,18,Onshore,0,2013,Finerge SA,24462000,6.373333333,,,0.27442205,2.149289131,-0.984106758,131.4297,9
France,5036,0,12,Onshore,0,2017,Ostwind,16308000,5.626666667,,,1.163,1.601827264,2.083614851,98.48331,19
Germany,2472,0,27,Onshore,0,2014,H & N Burgerwind GMBH,36693000,7.6,,,0.90679872,0.845330298,2.169498929,73.82303,21
Bulgaria,959,1,50,Onshore,0,2010,Energie Versorgung Niederosterreich AG ; Enertrag LTD,67950000,5.873333333,,,2.443273544,0.482104659,1.555359635,22.1016,13
Denmark,4373,0,15,Onshore,0,2011,Community Owners - Vester Barde Vinkraft I/S; Wind Estate A/S,20385000,7.78,,,2.758678913,3.84332943,1.310803779,46.02907,21
Spain,1008,0,50,Onshore,0,2005,Ecotecnica,67950000,5.066666667,,,3.368458509,5.324462414,3.551225515,42.39519,21
Netherlands,3562,0,19,Offshore hard mount,0,2021,Octopus,52335899,8.796666667,63.78,26.91,2.67572,17.2592,6.276830732,50.43565,21
United Kingdom,5161,0,12,Onshore,0,2013,ScottishPower Renewables,16308000,7.233333333,,,2.291663408,2.352421284,1.799921494,85.31606,20
Spain,3798,0,18,Onshore,0,2008,Iberdrola,24462000,5.623333333,,,4.07565403,6.641723633,0.767165775,39.6088,21
France,3930,0,17,Onshore,0,2020,EDF,23103000,6.603333333,,,0.476498853,-0.206244222,-7.44064593,114.853,20
Netherlands,106,0,349,Offshore hard mount,1,2009,Orsted,949593518.3,8.346666667,51.7,22.84,1.189783454,1.801511645,-3.665290445,56.28978,21
United Kingdom,5844,1,10,Onshore,1,2015,ScottishPower Renewables,13590000,7.44,,,0.40160796,1.249046922,2.222888449,87.86669,21
Finland,3231,0,21,Onshore,0,2013,Ilmatar,28539000,4.816666667,,,1.478294015,0.339855283,-0.979741028,59.86275,21
Croatia,1379,1,42,Onshore,0,2015,EnerCap; Crescent Capital Group LP,57078000,5.506666667,,,-0.46123451,-5.9,2.323175158,82.76101,10
Spain,1089,0,49,Onshore,0,2003,Iberdrola,66591000,5.813333333,,,3.039239645,2.886516333,2.939289664,47.68695,20
Germany,3714,0,18,Onshore,0,2016,Windkraft Schonach GMBH; E-Werk Mittelbaden AG & CO KG,24462000,4.636666667,,,0.491744995,0,2.294710677,67.63065,21
Germany,5214,0,12,Onshore,0,2012,Ostwind,16308000,5.803333333,,,2.008486986,2.23366785,0.474291306,79.15729,21
Germany,5806,0,10,Onshore,0,2017,Denker & Wulf AG,13590000,5.896666667,,,1.711,1.241764545,2.716024519,63.95238,21
Germany,4841,0,13,Onshore,0,2017,CEE,17667000,6.67,,,1.711,1.241764545,2.716024519,63.95238,21
Finland,293,0,142.6,Onshore,0,2023,Ilmatar,193793400,4.45,,,6.250643222,-1.180894007,-1.163962815,77.02499,20
Belgium,4888,0,13,Onshore,0,2004,Elicio,17667000,7.6,,,2.09728384,3.139665365,3.571206808,97.16967,20
Poland,2248,0,30,Onshore,0,2012,RWE AG,40770000,6.08,,,3.560366631,5.809867859,1.511781676,54.78408,15
Spain,3447,1,20,Onshore,0,2008,Enel; Elawan Energy SL,27180000,4.67,,,4.07565403,6.641723633,0.767165775,39.6088,21
France,4918,1,13,Onshore,0,2020,Ostwind,17667000,6.463333333,,,0.476498853,-0.206244222,-7.44064593,114.853,20
Spain,3514,1,20,Onshore,0,2001,Acciona,27180000,4.976666667,,,3.589828014,3.382987976,3.919088791,54.05223,21
Germany,1941,0,33,Onshore,0,2014,Energiekontor,44847000,7.2,,,0.90679872,0.845330298,2.169498929,73.82303,21
Ukraine,2662,1,25,Onshore,0,2014,Wind Parks of Ukraine LLC,33975000,6.723333333,,,12.14751339,9.026567459,-10.07889499,70.31687,3
Sweden,366,0,113,Onshore,0,2021,Enlight Renewable Energy,153567000,4.226666667,,,2.163197,16.98293,5.937508573,36.83366,21
Spain,1263,1,45,Onshore,0,2006,Enel,61155000,4.656666667,,,3.515373945,6.521553516,4.043435207,39.01906,21
Norway,1142,0,48,Onshore,1,2010,Statkraft AS,65232000,5.553333333,,,2.418909788,5.216736317,0.787051845,42.9516,21
France,6037,0,10,Onshore,0,2008,EDP,13590000,7.393333333,,,2.812865257,4.735337734,0.380171426,69.73569,21
Germany,4678,1,14,Onshore,0,2007,DunoAir,19026000,6.233333333,,,2.298336029,1.922888994,2.89010719,63.08144,21
Austria,4696,1,14,Onshore,0,2005,EVN,19026000,6.156666667,,,2.299131632,5.429999828,2.320365267,68.64233,21
Germany,2707,1,25,Onshore,0,1999,GLS Beteiligung AG,33975000,6.67,,,0.585434675,1.275393605,2.130116685,59.87108,21
Germany,5864,1,10,Onshore,0,2015,CEE,13590000,7.223333333,,,0.514420152,-0.414969653,1.652719772,70.55988,21
United Kingdom,3546,0,19.5,Onshore,0,2005,Scottish and Southern Energy (SSE),26500500,8.55,,,2.056553125,3.290127754,2.732660761,41.00035,21
France,3702,1,18,Onshore,0,2017,EnBW,24462000,5.653333333,,,1.163,1.601827264,2.083614851,98.48331,19
Italy,3109,0,22,Onshore,0,2007,EDF,29898000,5.66,,,1.829737067,2.57996273,1.462292025,103.4538,17
France,2762,0,24,Onshore,0,2017,Total Quadran,32616000,5.876666667,,,1.163,1.601827264,2.083614851,98.48331,19
France,4611,0,14,Onshore,0,2013,EnBW,19026000,6.02,,,0.863710403,2.433341503,0.781756446,94.68683,19
France,856,0,52,Onshore,0,2016,Allianz SE,70668000,6.193333333,,,0.183335871,-0.11499691,0.860031082,98.02478,19
France,56,0,496,Offshore hard mount,0,2024,Eoliennes,1308163379,7.42,21.71,28.37,4.878357265,5.925709159,0.936487503,110.6418,18
Finland,608,0,73,Onshore,0,2016,Tohkojan Tuulipuisto OY,99207000,6.08,,,0.356684387,0.551684678,2.571934232,68.59111,20
Sweden,567,0,79,Onshore,0,2018,Munich RE AG,107361000,4.14,,,1.95,3.724690449,1.902964588,39.4871,21
Germany,5014,0,12,Onshore,0,2018,DunoAir,16308000,5.62,,,1.73,1.753376603,1.116443109,60.72854,21
France,4676,0,14,Onshore,0,2007,Boralex,19026000,5.61,,,1.487993479,2.966151237,2.530481862,65.3614,21
Romania,643,1,70,Onshore,0,2011,Enel,95130000,5.906666667,,,5.787102222,9.3,4.495589099,32.3465,11
Poland,5892,0,10,Onshore,0,2013,Szelf SP ZOO,13590000,7.003333333,,,0.991986692,1.963978171,0.684240607,57.11583,15
Germany,4567,0,14,Onshore,0,2016,Enertrag LTD,19026000,6.02,,,0.491744995,0,2.294710677,67.63065,21
United Kingdom,327,1,124,Onshore,0,2004,ScottishPower Renewables,168516000,7.34,,,1.434167027,2.115386009,2.457904411,39.80162,21
Germany,3372,0,20,Onshore,0,2015,Zweite Bokingharder Windpark GMBH & CO KG,27180000,7.603333333,,,0.514420152,-0.414969653,1.652719772,70.55988,21
Germany,4686,0,14,Onshore,0,2006,UKA Group,19026000,6.503333333,,,1.577432156,2.939437389,3.855736152,65.75402,21
Germany,5646,0,11,Onshore,0,2003,Denker & Wulf AG,14949000,6.813333333,,,1.034225345,1.510221601,-0.529928994,62.70924,21
Belgium,4312,1,15,Onshore,0,2016,Vleemo NV,20385000,6.946666667,,,1.973854065,2.142004013,1.19350264,105.0071,20
Germany,4732,1,14,Onshore,0,2000,Denker & Wulf AG,19026000,7.27,,,1.44027102,2.786129236,2.877245948,58.7667,21
Poland,3563,1,19,Onshore,0,2020,Israel Infrastructure Fund,25821000,7.723333333,,,3.374469726,7.48961993,-2.035568824,57.19533,15
Sweden,4496,1,14,Onshore,0,2023,Svevind AB,19026000,4.18,,,8.548624897,-9.78123785,-0.310670185,36.37123,21
Norway,412,0,100,Onshore,1,2023,Fred Olsen Renewables AB,135900000,6.47,,,5.517849871,-3.925183016,0.479647246,44.00372,21
Ukraine,441,1,98,Onshore,1,2019,Longwing Ukraine LTD,133182000,6.823333333,,,7.886000156,5.909555435,3.199503862,50.61624,5
Norway,367,0,113,Onshore,0,2020,TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA,153567000,5.82,,,1.286584907,-3.487698987,-1.278171785,46.1091,21
Denmark,5619,1,11,Onshore,0,2010,HOFOR AS,14949000,8.356666667,,,2.310928822,3.72913456,1.582897021,42.5416,21
France,3299,0,20.3,Onshore,0,2022,Greencoat,27587700,6.285,,,5.222367,23.73546019,2.570840474,111.9513,19
Bulgaria,2681,1,25,Onshore,0,2010,Renalfa IPP,33975000,3.933333333,,,2.443273544,0.482104659,1.555359635,22.1016,13
Estonia,3824,0,18,Onshore,0,2005,Enefit Green,24462000,7.733333333,,,4.079714298,6.982877731,9.523058033,4.6988,16
United Kingdom,5523,1,11.7,Onshore,0,2008,JLEN Environmental Assets Group,15900300,6.303333333,,,3.481384993,4.696794987,-0.248797298,50.82737,21
Norway,216,0,200,Onshore,1,2008,TronderEnergi Kraft AS,271800000,5.15,,,3.753922939,6.826536655,0.481919541,47.54502,21
Russia,915,1,50,Onshore,0,2021,OOO Sedmoi Vetropark FRV,67950000,6.446666667,,,6.694456,5.109167,5.614290376,16.397,12
Spain,2089,0,31,Onshore,0,2004,Iberdrola,42129000,4.733333333,,,3.039197922,3.496448517,3.114531452,45.3327,21
Belgium,2919,1,23,Onshore,0,2022,NV Wind aan de Stroom,31257000,6.9,,,9.597511,52.98778758,4.233431834,104.2816,19
France,6054,0,10,Onshore,0,2007,JPEE,13590000,6.33,,,1.487993479,2.966151237,2.530481862,65.3614,21
Italy,2524,0,26,Onshore,0,2016,Aren Electric Power SPA,35334000,4.81,,,-0.094023295,-1.641936302,1.236221107,134.1955,13
Italy,3148,0,22,Onshore,0,2012,CEF,29898000,4.01,,,3.041360378,7.027999878,-3.125238795,125.8705,16
Spain,2255,0,30,Onshore,0,2019,Mirova Eurofideme,40770000,5.85,,,0.699999988,-1.237797976,1.961178532,97.57882,16
Germany,6133,0,10,Onshore,0,2002,Landvolk Diepholz,13590000,6.746666667,,,1.420809388,0.910149872,-0.228310249,59.26526,21
United Kingdom,131,0,300,Onshore,1,2017,Community Windpower,407700000,7.573333333,,,2.683,2.041315317,2.656504893,86.72315,19
United Kingdom,2774,0,24,Onshore,1,2015,Renewable Energy Systems (RES),32616000,7.223333333,,,0.40160796,1.249046922,2.222888449,87.86669,21
Belgium,5517,1,12,Onshore,0,2005,Engie,16308000,6.736666667,,,2.781432867,5.319085121,2.321737964,95.14187,20
United Kingdom,910,0,50,Onshore,1,2021,Energiekontor,67950000,7.666666667,,,2.5,9.108159,8.575950905,105.196,20
Sweden,844,0,53,Onshore,0,2016,Allianz SE,72027000,4.45,,,0.984268188,4.590000153,2.349740804,42.37349,21
Italy,6027,0,10,Onshore,0,2008,Renvico Holding,13590000,5.466666667,,,3.347833157,6.451290131,-1.023138477,105.7877,17
Sweden,731,0,60,Onshore,0,2023,Reichmuth Infrastruktur II KMGK,81540000,4.36,,,8.548624897,-9.78123785,-0.310670185,36.37123,21
Poland,3216,0,21,Onshore,0,2015,Enerco; Invenergy LLC,28539000,7.446666667,,,-0.874127567,0.702593625,4.431767003,51.34457,16
France,5378,1,12,Onshore,0,2007,EDF,16308000,6.32,,,1.487993479,2.966151237,2.530481862,65.3614,21
Spain,1706,0,36,Onshore,0,2019,Norvento; Naturgy,48924000,4.68,,,0.699999988,-1.237797976,1.961178532,97.57882,16
United Kingdom,3415,1,20,Onshore,0,2011,Renantis UK Ltd,27180000,7.916666667,,,3.884572744,2.714504004,1.138362347,81.42507,21
Finland,3733,1,18,Onshore,0,2013,Tuuliwatti OY,24462000,5.223333333,,,1.478294015,0.339855283,-0.979741028,59.86275,21
Portugal,3420,1,20,Onshore,0,2011,Finerge SA,27180000,5.213333333,,,3.653007746,6.659373283,-1.713527503,114.403,12
Belgium,5720,0,10,Onshore,0,2021,Elawan Energy SL,13590000,6.686666667,,,2.440248,12.33115,6.202554016,107.9353,20
Italy,2067,0,31,Onshore,0,2018,Fri-El SPA,42129000,5.766666667,,,1.14,2.564749718,0.826646697,134.138,13
Greece,3652,0,18,Onshore,0,2021,PAP Energy SA,24462000,3.816666667,,,1.223826,12.30831,8.654497853,201.1673,10
Italy,4621,0,14,Onshore,0,2012,AGSM Group,19026000,4.36,,,3.041360378,7.027999878,-3.125238795,125.8705,16
Portugal,4167,1,16,Onshore,0,2010,EDP,21744000,5.33,,,1.402570248,4.43446207,1.73762451,100.2145,17
Germany,5128,1,12,Onshore,0,2014,WestWind Energy PTY LTD,16308000,6.993333333,,,0.90679872,0.845330298,2.169498929,73.82303,21
Germany,5926,0,10,Onshore,0,2012,KGAL Group,13590000,6.896666667,,,2.008486986,2.23366785,0.474291306,79.15729,21
France,5091,0,12,Onshore,0,2015,Enertrag LTD,16308000,6.963333333,,,0.037512854,0.410003603,1.066754735,97.07373,19
Spain,3497,0,20,Onshore,0,2003,Iberdrola,27180000,5.29,,,3.039239645,2.886516333,2.939289664,47.68695,20
Sweden,575,0,78,Onshore,0,2012,Jamtkraft AB; Skanska AB; OX2 AB,106002000,4.863333333,,,0.888376236,0,-0.414465721,37.68633,21
Spain,2614,0,26,Onshore,0,2005,Siroco Capital SCR SA; other ; Naturgy,35334000,4.736666667,,,3.368458509,5.324462414,3.551225515,42.39519,21
France,4577,1,14,Onshore,0,2015,Glennmont Partners,19026000,7.41,,,0.037512854,0.410003603,1.066754735,97.07373,19
Greece,3630,1,18,Onshore,1,?,IdEI SA,24462000,,,,,,,,
Spain,2880,1,24,Onshore,0,2000,Fomentos de Construcciones y Contratas (FCC),32616000,4.076666667,,,3.433526039,4.422429562,5.200641186,57.84051,20
Spain,1037,0,50,Onshore,0,2000,Iberdrola,67950000,5.79,,,3.433526039,4.422429562,5.200641186,57.84051,20
Greece,1446,0,41,Onshore,0,2003,Rokas Renewables,55719000,5.973333333,,,3.530652046,4.425450802,5.796823035,101.4561,17
France,3698,1,18,Onshore,0,2017,EnBW,24462000,5.653333333,,,1.163,1.601827264,2.083614851,98.48331,19
Denmark,281,0,150,Offshore hard mount,1,2000,European Energy A/S,389476675,7.963333333,7.01,10.88,2.903283119,10.39999962,3.724008976,52.39094,21
Netherlands,1312,0,44,Onshore,0,2007,Allianz,59796000,7.546666667,,,1.613861084,2.598557472,3.885306508,42.74112,21
Germany,4133,0,16,Onshore,0,2013,AoR Energieprojekte Monsheim,21744000,5.486666667,,,1.504725099,1.971489668,0.386224576,76.79466,21
Portugal,5226,0,12,Onshore,0,2011,Ventient Energy,16308000,6.98,,,3.653007746,6.659373283,-1.713527503,114.403,12
Sweden,529,0,85,Onshore,0,2014,SCA Energy AB; Statkraft AS,115515000,4.113333333,,,-0.179638565,3.430000067,2.295763809,45.20099,21
Bulgaria,629,0,70,Onshore,1,-,Samaras ; Copelouzos Group,95130000,2.930434783,,,,,,,
United Kingdom,2673,0,25,Onshore,1,2011,Community Windpower,33975000,7.033333333,,,3.884572744,2.714504004,1.138362347,81.42507,21
Sweden,2143,0,30,Onshore,1,2016,Spanish Power SL,40770000,4.133333333,,,0.984268188,4.590000153,2.349740804,42.37349,21
Finland,946,0,50,Onshore,0,2013,Exilion Tuuli Ky,67950000,4.85,,,1.478294015,0.339855283,-0.979741028,59.86275,21
Netherlands,4997,0,12,Onshore,0,2019,FutureWind,16308000,8.136666667,,,2.673000097,7.572058201,2.300091595,47.58263,21
Portugal,3767,1,18,Onshore,0,2011,Finerge SA,24462000,6.24,,,3.653007746,6.659373283,-1.713527503,114.403,12
France,5233,0,12,Onshore,0,2011,Energiequelle GmbH,16308000,6.01,,,2.111598015,4.445785046,2.437576569,88.9102,21
Spain,4416,0,15,Onshore,0,2004,EDP,20385000,4.856666667,,,3.039197922,3.496448517,3.114531452,45.3327,21
Spain,909,0,50,Onshore,0,2022,Grupo SAMCA,67950000,6.12,,,8.390576,29.4164652,6.179312226,109.4039,16
Spain,3458,1,20,Onshore,0,2007,Iberdrola,27180000,5.253333333,,,2.787031889,3.659707785,3.533500122,35.69813,21
United Kingdom,238,1,172.8,Onshore,0,2017,Scottish and Southern Energy (SSE),234835200,7.53,,,2.683,2.041315317,2.656504893,86.72315,19
Denmark,3748,0,18,Onshore,0,2012,Best Energy,24462000,7.926666667,,,2.397917986,2.603148699,-0.005432319,44.94315,21
Poland,2480,0,27,Onshore,0,2012,Invenergy LLC,36693000,7.713333333,,,3.560366631,5.809867859,1.511781676,54.78408,15
Spain,2228,0,30,Onshore,0,2005,Iberdrola,40770000,5.036666667,,,3.368458509,5.324462414,3.551225515,42.39519,21
France,3004,0,22.6,Onshore,0,2023,Neoen,30713400,5.94,,,4.878357265,5.925709159,0.936487503,110.6418,19
Germany,2095,0,31,Onshore,0,2002,Burgerwind,42129000,7.826666667,,,1.420809388,0.910149872,-0.228310249,59.26526,21
Estonia,2809,0,24,Onshore,0,2011,Nelja Energia (4Energia),32616000,6.996666667,,,4.981902599,5.859928608,7.606976635,6.136714,18
Romania,2474,1,27,Onshore,0,2013,Iberdrola,36693000,5.8,,,3.991640568,4.1,0.278771877,37.78312,11
Netherlands,5746,1,10,Onshore,0,2019,Eneco,13590000,7.593333333,,,2.673000097,7.572058201,2.300091595,47.58263,21
Spain,1183,0,47,Onshore,0,2007,Eolia Renovables SA (EOLIASUR); URIEL Renewables INC,63873000,5.71,,,2.787031889,3.659707785,3.533500122,35.69813,21
Ukraine,51,1,500,Onshore,1,2011,Krym-Eol LTD,679500000,6.063333333,,,7.946462631,10.316782,5.44528081,36.87567,7
Netherlands,4794,0,13,Onshore,0,2023,ProWind GMBH; Rijn en IJssel Energy COOP,17667000,6.87,,,3.838393543,-22.05954498,0.074560722,45.02355,21
Spain,1818,0,35,Onshore,0,2002,Acciona,47565000,4.04,,,3.06576395,2.26916194,2.755456153,51.23687,21
France,5270,0,12,Onshore,0,2010,Valorem,16308000,6.07,,,1.531118512,3.301385641,2.000324727,86.31331,21
Germany,2854,0,24,Onshore,0,2005,Ostwind,32616000,6.423333333,,,1.546913624,2.818756342,0.885697236,66.46009,21
Italy,5361,1,12,Onshore,0,2007,Fortore Energia SPA,16308000,5.386666667,,,1.829737067,2.57996273,1.462292025,103.4538,17
Portugal,5048,1,12,Onshore,0,2016,Saeta Yield SA,16308000,5.396666667,,,0.607398987,0.385936558,2.004141094,131.5057,11
Spain,3329,0,20,Onshore,1,2018,Instituto de Energias Renovables SL,27180000,5.316666667,,,1.68,2.365603924,2.395411204,99.71828,14
Finland,409,0,101,Onshore,0,2021,Luxcara GMBH,137259000,4.476666667,,,2.194574,9.620338,2.734713486,73.13908,20
United Kingdom,3396,0,20,Onshore,0,2013,Greencoat,27180000,7.136666667,,,2.291663408,2.352421284,1.799921494,85.31606,20
Spain,1447,0,41,Onshore,0,2003,Energaas Renovables del Bierzo (ERBI),55719000,5.176666667,,,3.039239645,2.886516333,2.939289664,47.68695,20
Italy,6028,0,10,Onshore,0,2008,EDF,13590000,6.443333333,,,3.347833157,6.451290131,-1.023138477,105.7877,17
Ireland,2697,1,25,Onshore,0,2003,Scottish and Southern Energy (SSE),33975000,8.196666667,,,3.490487099,-0.665447652,3.013838746,29.81879,21
Spain,990,1,50,Onshore,0,2006,Iberdrola,67950000,4.07,,,3.515373945,6.521553516,4.043435207,39.01906,21
Denmark,1993,1,32,Onshore,0,2018,European Energy A/S ; SUSI Partners AG,43488000,8.153333333,,,0.81,1.175891161,1.860007489,34.14801,21
Germany,5607,0,11,Onshore,0,2013,UKA Group,14949000,6.363333333,,,1.504725099,1.971489668,0.386224576,76.79466,21
Germany,2378,1,28,Onshore,0,2012,Denker & Wulf AG,38052000,7.57,,,2.008486986,2.23366785,0.474291306,79.15729,21
Germany,1925,0,33,Onshore,0,2018,BVT Group,44847000,6.776666667,,,1.73,1.753376603,1.116443109,60.72854,21
Greece,5677,0,10.8,Onshore,1,?,Malea Lakonias Wind SA,14677200,,,,,,,,
Finland,1782,0,35,Onshore,0,2022,Commerz Real AG,47565000,4.935,,,7.123507,30.69680686,1.450048073,73.94323,20
Germany,3882,0,18,Onshore,0,2022,NEAG Norddeutsche Energie AG,24462000,6.52,,,6.872574,35.04750171,1.369731055,64.78936,21
Germany,1424,1,41,Onshore,0,2018,NOTUS Energy,55719000,6.88,,,1.73,1.753376603,1.116443109,60.72854,21
Norway,790,0,57,Onshore,1,2007,Statskog SF,77463000,5.656666667,,,0.712596357,-0.869917691,2.914039986,49.51508,21
Sweden,1931,1,33,Onshore,0,2016,Allianz SE,44847000,4.02,,,0.984268188,4.590000153,2.349740804,42.37349,21
Austria,4793,0,13,Onshore,0,2023,EVN,17667000,4.64,,,7.81413417,6.195272942,-0.954962367,77.545,20
