Country/Area,Entry ID,Project Name,Phase Name,Only Phase,Capacity (MW),Installation Type,Status,Cancelled,Start year,Owner,Latitude,Longitude,Region,Wiki URL,Annual Wind Speed,Ocean Depth For Offshore,Inflation in Project Country
United Kingdom,31,East Anglia wind farm,EA4,0,714,Offshore hard mount,operating,0,2020,ScottishPower Renewables,52.1370,2.1728,Europe,https://www.gem.wiki/East_Anglia_wind_farm,,,
France,32,Deux C�tes wind farm,--,1,705,Offshore hard mount,cancelled,1,2012,La Compagnie du Vent,50.1482,1.2728,Europe,https://www.gem.wiki/Deux_C�tes_wind_farm,,,
Estonia,33,Baltic Blue wind farm,Area B,0,700,Unknown,cancelled,1,2014,Baltic Blue Energy O�,58.7498,22.0140,Europe,https://www.gem.wiki/Baltic_Blue_wind_farm,,,
United Kingdom,34,Bell Rock wind farm,--,1,700,Onshore,cancelled,1,2008,Scottish and Southern Energy (SSE),54.7024,-3.2766,Europe,https://www.gem.wiki/Bell_Rock_wind_farm,,,
Norway,35,Hordavind wind farm,--,1,682,Onshore,operating,0,2024,Norsk Vind AS,60.8574,5.7661,Europe,https://www.gem.wiki/Hordavind_wind_farm,,,
United Kingdom,36,Walney wind farm,Extension,0,659,Offshore hard mount,operating,0,2018,�rsted A/S ; PFA Pension ; PKA Group,54.9010,-3.6201,Europe,https://www.gem.wiki/Walney_wind_farm,,,
Sweden,37,Markbygden wind farm,1-MBETT,0,650,Onshore,operating,0,2020,Green Investment Group (GIG); General Electric Co,65.3544,20.9832,Europe,https://www.gem.wiki/Markbygden_wind_farm,,,
Greece,38,Adigoneia Vathe Theodoraki wind farm,--,1,632.7,Onshore,cancelled,1,?,Sakel Technike LLC,41.1535,22.8541,Europe,https://www.gem.wiki/Adigoneia_Vathe_Theodoraki_wind_farm,,,
Poland,39,Pomorze Offshore wind farm,2,0,611,Offshore hard mount,cancelled,1,2017,OW Ocean Winds,54.3929,14.7440,Europe,https://www.gem.wiki/Pomorze_Offshore_wind_farm,,,
Poland,40,Pomorze Offshore wind farm,3,0,611,Offshore hard mount,cancelled,1,2017,OW Ocean Winds,54.3929,14.7440,Europe,https://www.gem.wiki/Pomorze_Offshore_wind_farm,,,
Denmark,41,Kriegers Flak Offshore wind farm,--,1,605,Offshore hard mount,operating,0,2021,Vattenfall AB,54.9855,12.9965,Europe,https://www.gem.wiki/Kriegers_Flak_Offshore_wind_farm,,,
United Kingdom,42,Erebus wind farm,2,0,600,Offshore floating,cancelled,1,2021,TotalEnergies SE; Simply Blue Energy LTD,51.6090,-4.9365,Europe,https://www.gem.wiki/Erebus_wind_farm,,,
Sweden,43,Gretas Klackar Offshore wind farm,2,0,600,Offshore mount unknown,cancelled,1,2020,Iberdrola Renovables Energia SA,61.3104,17.7758,Europe,https://www.gem.wiki/Gretas_Klackar_Offshore_wind_farm,,,
Netherlands,44,Gemini Offshore Wind Park,--,1,600,Offshore hard mount,operating,0,2017,ALH Group; Siemens AG; Northland Power INC; HVC NV,53.7190,5.9811,Europe,https://www.gem.wiki/Gemini_Offshore_Wind_Park,,,
Norway,45,Fosen (Offshore) wind farm,--,1,600,Offshore hard mount,cancelled,1,2007,Offshore Vindenergi AS,64.2603,10.1982,Europe,https://www.gem.wiki/Fosen_(Offshore)_wind_farm,,,
United Kingdom,46,Beatrice wind farm,--,1,588,Offshore hard mount,operating,0,2019,Renewables Infrastructure Group LTD (TRIG) ; SSE Renewables ; Red Rock Power LTD ; Equitix LTD,58.0882,-2.9502,Europe,https://www.gem.wiki/Beatrice_wind_farm,,,
Germany,47,Kaikas wind farm,--,1,581,Offshore mount unknown,cancelled,1,2008,WPD AG,54.7693,5.9722,Europe,https://www.gem.wiki/Kaikas_wind_farm,,,
United Kingdom,48,Gwynt Y M�r Offshore wind farm,--,1,576,Offshore hard mount,operating,0,2015,Equitix Ltd; RWE AG ; Green Investment Group (GIG); Stadtwerke M�nchen GmbH,53.4540,-3.6266,Europe,https://www.gem.wiki/Gwynt_Y_M�r_Offshore_wind_farm,,,
Norway,49,Lauvdalsheia wind farm,--,1,500,Onshore,cancelled,1,2020,Fred Olsen Renewables AB,58.8235,7.9302,Europe,https://www.gem.wiki/Lauvdalsheia_wind_farm,,,
Denmark,50,KadetBanke Offshore wind farm,--,1,500,Offshore mount unknown,cancelled,1,2019,Wind Estate A/S,54.8100,12.5700,Europe,https://www.gem.wiki/KadetBanke_Offshore_wind_farm,,,
Ukraine,51,Tylyhulska wind farm,1,0,500,Onshore,cancelled,1,2011,Krym-Eol LTD,46.9405,32.0635,Europe,https://www.gem.wiki/Tylyhulska_wind_farm,,,
Greece,52,Plaka Lemnos Offshore wind farm,--,1,498.2,Offshore hard mount,cancelled,1,2009,City Electric Single Member Energy SA,40.0005,25.5178,Europe,https://www.gem.wiki/Plaka_Lemnos_Offshore_wind_farm,,,
France,53,Fecamp wind farm,--,1,498,Offshore hard mount,operating,0,2024,WPD; �rsted A/S; EDF Renewables,49.8447,0.2986,Europe,https://www.gem.wiki/Fecamp_wind_farm,,,
Germany,54,Hohe See wind farm,--,1,497,Offshore hard mount,operating,0,2019,Enbridge Inc; EnBW,54.4393,6.3327,Europe,https://www.gem.wiki/Hohe_See_wind_farm,,,
France,55,Saint-Brieuc wind farm,--,1,496,Offshore hard mount,operating,0,2024,Iberdrola SA,48.6417,2.6807,Europe,https://www.gem.wiki/Saint-Brieuc_wind_farm,,,
France,56,Yeu And Noirmoutier wind farm,--,1,496,Offshore hard mount,operating,0,2024,�oliennes,46.9001,-2.5585,Europe,https://www.gem.wiki/Yeu_And_Noirmoutier_wind_farm,,,
Estonia,57,Sunly Sw6 wind farm,--,1,492,Offshore hard mount,cancelled - inferred 4 y,1,2020,Sunly Energy,58.2401,21.6010,Europe,https://www.gem.wiki/Sunly_Sw6_wind_farm,,,
Greece,58,Plaka Keros Lemnos Offshore wind farm,--,1,486,Offshore hard mount,cancelled,1,2010,Rokas Renewables,40.0048,25.5469,Europe,https://www.gem.wiki/Plaka_Keros_Lemnos_Offshore_wind_farm,,,
Romania,59,Adamdel wind farm,1,0,484,Onshore,operating,0,2020,Nero Renewables,45.9852,24.6859,Europe,https://www.gem.wiki/Adamdel_wind_farm,,,
France,60,Saint Nazaire wind farm,--,1,480,Offshore hard mount,operating,0,2022,EDF Renewables,47.2146,-2.2724,Europe,https://www.gem.wiki/Saint_Nazaire_wind_farm,,,
Norway,61,H�yangerfjell wind farm,--,1,480,Onshore,cancelled,1,2019,Fred Olsen Renewables AB,61.2733,6.0403,Europe,https://www.gem.wiki/H�yangerfjell_wind_farm,,,
Finland,62,Suurhiekan wind farm,--,1,480,Offshore mount unknown,cancelled - inferred 4 y,1,2011,WPD Finland,65.2682,24.6066,Europe,https://www.gem.wiki/Suurhiekan_wind_farm,,,
Germany,63,Borkum Riffgrund 2 wind farm,--,1,450,Offshore hard mount,operating,0,2019,Gulf Energy Development PCL ; �rsted A/S ; Keppel Infrastructure Trust (KIT) ; Keppel CORP,53.9665,6.5493,Europe,https://www.gem.wiki/Borkum_Riffgrund_2_wind_farm,,,
Poland,64,A-Wind Offshore wind farm,--,1,450,Offshore hard mount,cancelled,1,2013,Energetyka Polska,55.0648,17.8488,Europe,https://www.gem.wiki/A-Wind_Offshore_wind_farm,,,
Croatia,65,Bilice wind farm,--,1,448,Offshore floating,cancelled,1,2012,Blue H Technologies BV,43.4741,15.5986,Europe,https://www.gem.wiki/Bilice_wind_farm,,,
Estonia,66,Baltic Blue wind farm,Area C,0,420,Unknown,cancelled,1,2014,Baltic Blue Energy O�,58.5709,22.0401,Europe,https://www.gem.wiki/Baltic_Blue_wind_farm,,,
Denmark,67,Horns Rev Offshore wind farm,3,0,407,Offshore hard mount,operating,0,2018,Vattenfall AB,55.6825,7.7729,Europe,https://www.gem.wiki/Horns_Rev_Offshore_wind_farm,,,
United Kingdom,68,Dudgeon wind farm,1,0,402,Offshore hard mount,operating,0,2017,Equinor ASA; Masdar; China Resources (Holdings) CO LTD,53.1175,0.6135,Europe,https://www.gem.wiki/Dudgeon_wind_farm,,,
United Kingdom,69,Rampion Offshore wind farm,1,0,400,Offshore hard mount,operating,0,2017,E.ON UK Renewables LTD,50.6410,-0.1801,Europe,https://www.gem.wiki/Rampion_Offshore_wind_farm,,,
Sweden,70,Oskarshamn wind farm,--,1,400,Offshore mount unknown,cancelled,1,2014,ReWind Offshore AB,57.4127,16.8684,Europe,https://www.gem.wiki/Oskarshamn_wind_farm,,,
United Kingdom,71,First Flight wind farm,--,1,400,Offshore hard mount,cancelled,1,2014,�rsted A/S; B9; RES,54.0860,-5.6340,Europe,https://www.gem.wiki/First_Flight_wind_farm,,,
Denmark,72,Anholt wind farm,--,1,400,Offshore hard mount,operating,0,2013,�rsted A/S ; PKA ; Pension Danmark,56.5897,11.1827,Europe,https://www.gem.wiki/Anholt_wind_farm,,,
Norway,73,Skjnotingsberg wind farm,--,1,400,Onshore,cancelled - inferred 4 y,1,2004,Norsk Miljokraft AS,70.9827,27.4465,Europe,https://www.gem.wiki/Skjnotingsberg_wind_farm,,,
Norway,74,Oyfjellet wind farm,--,1,400,Onshore,operating,0,2022,Aquila Capital,65.8503,13.0094,Europe,https://www.gem.wiki/Oyfjellet_wind_farm,,,
Croatia,75,Dubrovnik wind farm,--,1,392,Offshore floating,cancelled,1,2012,Blue H Technologies BV,42.5830,17.5444,Europe,https://www.gem.wiki/Dubrovnik_wind_farm,,,
United Kingdom,76,West Of Duddon Sands wind farm,--,1,389,Offshore hard mount,operating,0,2014,ScottishPower Renewables,53.9851,-3.4620,Europe,https://www.gem.wiki/West_Of_Duddon_Sands_wind_farm,,,
Netherlands,77,Hollandse Kust Zuid wind farm,1,0,385,Offshore hard mount,operating,0,2023,BASF SE; Vattenfall AB ; Allianz SE,52.5540,4.3374,Europe,https://www.gem.wiki/Hollandse_Kust_Zuid_wind_farm,,,
Netherlands,78,Hollandse Kust Zuid wind farm,3,0,385,Offshore hard mount,operating,0,2023,BASF SE; Vattenfall AB ; Allianz SE,52.6705,3.9456,Europe,https://www.gem.wiki/Hollandse_Kust_Zuid_wind_farm,,,
Germany,79,Arkona Becken Su_Dost wind farm,--,1,384,Offshore hard mount,operating,0,2019,E.ON SE,54.7800,14.1200,Europe,https://www.gem.wiki/Arkona_Becken_Su_Dost_wind_farm,,,
Germany,80,N�rdlicher Grund Offshore wind farm,--,1,384,Offshore mount unknown,cancelled - inferred 4 y,1,2001,�rsted A/S,54.9054,7.1813,Europe,https://www.gem.wiki/N�rdlicher_Grund_Offshore_wind_farm,,,
Poland,81,License Application No. 69 Offshore wind farm,--,1,383,Offshore hard mount,cancelled,1,2018,RWE AG,54.8663,16.3316,Europe,https://www.gem.wiki/License_Application_No._69_Offshore_wind_farm,,,
Poland,82,Sharco I Offshore wind farm,1,0,383,Offshore hard mount,cancelled,1,2014,RWE AG,54.5520,15.3515,Europe,https://www.gem.wiki/Sharco_I_Offshore_wind_farm,,,
Netherlands,83,Borssele III & IV offshore wind farm,2,0,380,Offshore hard mount,operating,0,2021,INPEX Corp; Octopus Energy ; Royal Van Oord ; Diamond Generating Corp ; Luxcara GMBH; Eneco NV ; Royal Dutch Shell PLC  ; Nuveen Infrastructure,52.6878,4.2486,Europe,https://www.gem.wiki/Borssele_III_&_IV_offshore_wind_farm,,,
Estonia,84,Tuuletraal wind farm,--,1,380,Offshore mount unknown,cancelled - inferred 4 y,1,2019,Tuuletraal OU,58.1101,23.3401,Europe,https://www.gem.wiki/Tuuletraal_wind_farm,,,
Estonia,85,Neugrund wind farm,--,1,380,Offshore mount unknown,cancelled,1,2010,Neugrund OU,59.3208,23.5460,Europe,https://www.gem.wiki/Neugrund_wind_farm,,,
Finland,86,Mutkalampi wind farm,1,0,378,Onshore,operating,0,2022,PROKON Wind Energy Finland OY; Neoen,63.9008,23.9170,Europe,https://www.gem.wiki/Mutkalampi_wind_farm,,,
Norway,87,Gronningfjella wind farm,--,1,378,Onshore,cancelled,1,2011,Statskog SF,64.7004,12.0490,Europe,https://www.gem.wiki/Gronningfjella_wind_farm,,,
Netherlands,88,Borssele I & II offshore wind farm,1,0,376,Offshore hard mount,operating,0,2020,Norges Bank Investment Management; �rsted A/S,51.7101,3.0001,Europe,https://www.gem.wiki/Borssele_I_&_II_offshore_wind_farm,,,
Netherlands,89,Borssele I & II offshore wind farm,2,0,376,Offshore hard mount,operating,0,2020,Norges Bank Investment Management; �rsted Wind Power Netherlands,51.6401,3.0701,Europe,https://www.gem.wiki/Borssele_I_&_II_offshore_wind_farm,,,
Sweden,90,Bj�rnberget wind farm,--,1,372,Onshore,operating,0,2022,Enlight Renewable Energy; Prime Capital AG,62.3244,15.7484,Europe,https://www.gem.wiki/Bj�rnberget_wind_farm,,,
Belgium,91,Norther Offshore Wind Project,--,1,370,Offshore hard mount,operating,0,2019,Eneco ; Elico,51.5281,3.0158,Europe,https://www.gem.wiki/Norther_Offshore_Wind_Project,,,
Netherlands,92,Borssele III & IV offshore wind farm,1,0,360,Offshore hard mount,operating,0,2021,INPEX Corp; Octopus Energy ; Royal Van Oord ; Diamond Generating Corp ; Luxcara GMBH; Eneco NV ; Royal Dutch Shell PLC  ; Nuveen Infrastructure,52.6878,4.2486,Europe,https://www.gem.wiki/Borssele_III_&_IV_offshore_wind_farm,,,
Spain,93,Guadalaviar wind farm,--,1,356,Onshore,cancelled - inferred 4 y,1,2008,Energias Renovables Mediterr�neas SA,39.5482,-0.4655,Europe,https://www.gem.wiki/Guadalaviar_wind_farm,,,
Sweden,94,Blakliden F�bodberget wind farm,--,1,353,Onshore,operating,0,2022,Vestas; Vattenfall AB; AIP Management P/S,64.0250,18.1358,Europe,https://www.gem.wiki/Blakliden_F�bodberget_wind_farm,,,
United Kingdom,95,Galloper offshore wind farm,1,0,353,Offshore hard mount,operating,0,2018,RWE AG ; Siemens Financial Services INC (SFS) ; Equitix Ltd ; Sumitomo Corp ; ESB Group,51.8810,2.0401,Europe,https://www.gem.wiki/Galloper_offshore_wind_farm,,,
Greece,96,West Karpathos And North Kasos Offshore wind farm,--,1,350,Offshore hard mount,cancelled,1,?,Minoika Thalassia Wind Park SA,35.5226,27.1025,Europe,https://www.gem.wiki/West_Karpathos_And_North_Kasos_Offshore_wind_farm,,,
Netherlands,97,Hollandse Kust Zuid wind farm,2,0,350,Offshore hard mount,operating,0,2023,BASF SE; Vattenfall AB ; Allianz SE,52.5540,4.3374,Europe,https://www.gem.wiki/Hollandse_Kust_Zuid_wind_farm,,,
Germany,98,Wikinger wind farm,--,1,350,Offshore hard mount,operating,0,2018,Iberdrola Renovables Energia SA ; Energy Infrastructure Partners (EIP),54.8340,14.0680,Europe,https://www.gem.wiki/Wikinger_wind_farm,,,
Estonia,99,Baltic Blue wind farm,Area D,0,350,Unknown,cancelled,1,2014,Baltic Blue Energy O�,58.6063,22.1320,Europe,https://www.gem.wiki/Baltic_Blue_wind_farm,,,
Serbia,100,Dolovo (Wind Alliance Group) wind farm,--,1,350,Onshore,cancelled - inferred 4 y,1,2014,Wind Alliance Group,44.9001,20.8765,Europe,https://www.gem.wiki/Dolovo_(Wind_Alliance_Group)_wind_farm,,,
United Kingdom,101,Clyde wind farm,1,0,350,Onshore,operating,0,2012,Scottish and Southern Energy (SSE),55.4416,-3.5427,Europe,https://www.gem.wiki/Clyde_wind_farm,,,
Netherlands,102,Beaufort wind farm,--,1,350,Offshore hard mount,operating,0,2009,NUON,52.4661,3.9651,Europe,https://www.gem.wiki/Beaufort_wind_farm,,,
Norway,103,Havsul wind farm,1,0,350,Offshore hard mount,cancelled,1,2008,Havgul Nordic AS,62.8041,6.3646,Europe,https://www.gem.wiki/Havsul_wind_farm,,,
Norway,104,Havsul wind farm,4,0,350,Offshore hard mount,cancelled,1,2008,Havgul Nordic AS,63.1719,7.2042,Europe,https://www.gem.wiki/Havsul_wind_farm,,,
Norway,105,Seglkollfjellet wind farm,--,1,350,Onshore,cancelled,1,2004,Varanger Kraft AS,70.4484,30.5948,Europe,https://www.gem.wiki/Seglkollfjellet_wind_farm,,,
Netherlands,106,Breeveertien II wind farm,--,1,349,Offshore hard mount,cancelled,1,2009,�rsted A/S,52.5316,3.7829,Europe,https://www.gem.wiki/Breeveertien_II_wind_farm,,,
Germany,107,Kaskasi wind farm,--,1,342,Offshore hard mount,operating,0,2022,RWE AG,54.4900,7.7000,Europe,https://www.gem.wiki/Kaskasi_wind_farm,,,
United Kingdom,108,Thanet wind farm,2,0,340,Offshore hard mount,cancelled,1,2010,Vattenfall AB,51.4206,1.5927,Europe,https://www.gem.wiki/Thanet_wind_farm,,,
Germany,109,Nordsee Ost wind farm,--,1,332,Offshore hard mount,operating,0,2017,RWE AG,54.4440,7.6820,Europe,https://www.gem.wiki/Nordsee_Ost_wind_farm,,,
Germany,110,Gode wind farm,1,0,330,Offshore hard mount,operating,0,2017,�rsted A/S ; Glennmont Partners ; Renewables Infrastructure Group LTD (TRIG),54.0160,6.9830,Europe,https://www.gem.wiki/Gode_wind_farm,,,
Spain,111,GECAMA wind farm,--,1,329.2,Onshore,operating,0,2022,Enlight Renewable Energy,39.4826,-2.1680,Europe,https://www.gem.wiki/GECAMA_wind_farm,,,
Netherlands,112,Katwijk Buiten offshore wind farm,--,1,325,Offshore mount unknown,cancelled,1,2006,Evelop UK LTD,52.2648,3.6519,Europe,https://www.gem.wiki/Katwijk_Buiten_offshore_wind_farm,,,
Denmark,113,Om� Syd Offshore wind farm,--,1,320,Offshore mount unknown,cancelled,1,2014,European Energy A/S,55.0879,11.3805,Europe,https://www.gem.wiki/Om�_Syd_Offshore_wind_farm,,,
Greece,114,Amorgos Anaphes Astypalaia And Ios Islands wind farm,--,1,317.4,Onshore,cancelled,1,?,Niata Wind SA,36.8462,25.9082,Europe,https://www.gem.wiki/Amorgos_Anaphes_Astypalaia_And_Ios_Islands_wind_farm,,,
United Kingdom,115,Sheringham Shoal wind farm,1,0,317,Offshore hard mount,operating,0,2012,Equitix Ltd ; Vattenfall AB,53.1353,1.1479,Europe,https://www.gem.wiki/Sheringham_Shoal_wind_farm,,,
United Kingdom,116,Moray East Offshore wind farm,1,0,316,Offshore hard mount,operating,0,2022,INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix Ltd; Kansai Electric Power Co; China Three Gorges Corp,57.9673,-2.7905,Europe,https://www.gem.wiki/Moray_East_Offshore_wind_farm,,,
United Kingdom,117,Moray East Offshore wind farm,2,0,316,Offshore hard mount,operating,0,2022,INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix Ltd; Kansai Electric Power Co; China Three Gorges Corp,57.9673,-2.7905,Europe,https://www.gem.wiki/Moray_East_Offshore_wind_farm,,,
United Kingdom,118,Moray East Offshore wind farm,3,0,316,Offshore hard mount,operating,0,2022,INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix Ltd; Kansai Electric Power Co; China Three Gorges Corp,57.9673,-2.7905,Europe,https://www.gem.wiki/Moray_East_Offshore_wind_farm,,,
Germany,119,Borkum Riffgrund 1 wind farm,--,1,312,Offshore hard mount,operating,0,2015,�rsted A/S ; William Demant Invest A/S ; Kirkbi Invest AS,53.9741,6.4912,Europe,https://www.gem.wiki/Borkum_Riffgrund_1_wind_farm,,,
Norway,120,Sjonfjellet wind farm,--,1,310,Onshore,cancelled,1,2014,Nord-Norsk Vindkraft AS,66.2987,13.3359,Europe,https://www.gem.wiki/Sjonfjellet_wind_farm,,,
Estonia,121,Hiiumaa Onshore wind farm,--,1,310,Onshore,cancelled - inferred 4 y,1,2008,Greta Energy,59.0919,22.5842,Europe,https://www.gem.wiki/Hiiumaa_Onshore_wind_farm,,,
Belgium,122,Rentel wind farm,--,1,309,Offshore hard mount,operating,0,2018,Aspiravi Offshore ; Socofe SA ; Rent-A-Port Green Energy NV ; Electrawinds Offshore ; Power@Sea ; DEME Group ; Z-Kratch ; SRIW Environment,51.5900,2.9400,Europe,https://www.gem.wiki/Rentel_wind_farm,,,
Sweden,123,Nys�ter wind farm,1,0,308.5,Onshore,operating,0,2022,E.ON SE ; Credit Suisse Energy Infrastructure Partners (CSEIP),62.7681,17.2968,Europe,https://www.gem.wiki/Nys�ter_wind_farm,,,
Norway,124,Mosjoen wind farm,--,1,305,Onshore,cancelled,1,2014,Fred Olsen Renewables AB,65.7731,13.4379,Europe,https://www.gem.wiki/Mosjoen_wind_farm,,,
Germany,125,Amrumbank West wind farm,--,1,302,Offshore hard mount,operating,0,2015,RWE AG,54.5200,7.7080,Europe,https://www.gem.wiki/Amrumbank_West_wind_farm,,,
Netherlands,126,Prinses Ariane Windpark,--,1,301,Onshore,operating,0,2020,A.S.R. Real Estate; Vattenfall AB,52.8173,4.9229,Europe,https://www.gem.wiki/Prinses_Ariane_Windpark,,,
Greece,127,Choros Sea Offshore wind farm,--,1,300,Offshore hard mount,cancelled,1,?,Kyon LLC,38.6050,24.1887,Europe,https://www.gem.wiki/Choros_Sea_Offshore_wind_farm,,,
