Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Latitude,Longitude,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
Poland,39,1,611,Offshore hard mount,1,2017,OW Ocean Winds,54.3929,14.7440,1640173797,8.01,38.59,13.25,1.975,1.801858664,5.152457733,50.79701,16
Poland,40,1,611,Offshore hard mount,1,2017,OW Ocean Winds,54.3929,14.7440,1640173797,8.01,38.59,13.25,1.975,1.801858664,5.152457733,50.79701,16
Denmark,41,0,605,Offshore hard mount,0,2021,Vattenfall AB,54.9855,12.9965,1606992429,8.083333333,28.45,28.59,1.853045,11.53909,7.38206629,35.78105,21
United Kingdom,42,1,600,Offshore floating,1,2021,TotalEnergies; Simply Blue Energy LTD,51.384981,-5.602,2378080000,8.533333333,39.2,72.49,2.5,9.108159,8.575950905,105.196,20
Sweden,43,1,600,Offshore hard mount,1,2020,Iberdrola,61.3104,17.7758,1621344800,5.633333333,23.44,38.93,0.497367319,-0.12742566,-2.005337504,40.31189,21
Netherlands,44,0,600,Offshore hard mount,0,2017,ALH Group; Siemens; Northland Power INC; HVC NV,53.7190,5.9811,1591056200,8.25,26.86,24.2,1.299,1.563019872,2.781546099,55.98573,21
Norway,45,0,600,Offshore hard mount,1,2007,Offshore Vindenergi AS,64.2603,10.1982,1583753100,7.536666667,0.93,52.1,0.712596357,-0.869917691,2.914039986,49.51508,21
United Kingdom,46,0,588,Offshore hard mount,0,2019,Renewables Infrastructure Group LTD (TRIG) ; Scottish and Southern Energy (SSE) ; Red Rock Power LTD ; Equitix LTD,58.0882,-2.9502,1597886472,8.35,28.92,45.71,1.791000009,2.081448078,1.624475159,85.65751,19
Germany,47,0,581,Offshore hard mount,1,2008,WPD,54.7693,5.9722,1751103110,9.346666667,135.43,40.01,2.628387928,3.424206972,0.910403196,64.5862,21
United Kingdom,48,0,576,Offshore hard mount,0,2015,Equitix LTD; RWE AG ; Green Investment Group (GIG); Stadtwerke Munchen GmbH,53.4540,-3.6266,1511574336,8.063333333,16.98,19.41,0.40160796,1.249046922,2.222888449,87.86669,21
Norway,49,0,500,Onshore,1,2020,Fred Olsen Renewables AB,58.8235,7.9302,679500000,4.34,N/A,N/A,1.286584907,-3.487698987,-1.278171785,46.1091,21
Denmark,50,0,500,Offshore hard mount,1,2019,Wind Estate A/S,54.8100,12.5700,1309500250,8.153333333,15.09,17.59,0.728999972,-0.291685313,1.711400944,33.7917,21
Ukraine,51,1,500,Onshore,1,2011,Krym-Eol LTD,46.9405,32.0635,679500000,6.063333333,N/A,N/A,7.946462631,10.316782,5.44528081,36.87567,7
Greece,52,0,498.2,Offshore hard mount,1,2009,City Electric Single Member Energy SA,40.0005,25.5178,1322350671,7.226666667,6.2,37.82,1.21007669,-2.682304144,-4.119275981,126.7447,16
France,53,0,498,Offshore hard mount,0,2024,WPD; Orsted; EDF,49.8447,0.2986,1296957502,8.11,9.82,22.22,4.878357265,5.925709159,0.936487503,110.6418,18
Germany,54,0,497,Offshore hard mount,0,2019,Enbridge Inc; EnBW,54.4393,6.3327,1438352127,9.163333333,92.36,38.56,1.345999956,1.315006018,0.987893349,58.55613,21
France,55,0,496,Offshore hard mount,0,2024,Iberdrola,48.853,-2.539,1310137541,6.05,23.14,31.57,4.878357265,5.925709159,0.936487503,110.6418,18
France,56,0,496,Offshore hard mount,0,2024,Eoliennes,46.9001,-2.5585,1308163379,7.42,21.71,28.37,4.878357265,5.925709159,0.936487503,110.6418,18
Estonia,57,0,492,Offshore hard mount,1,2020,Sunly Energy,58.2401,21.6010,1285740976,8.516666667,13.04,16.55,-0.444531098,-3.722360805,-2.883810041,18.28885,18
Greece,58,0,486,Offshore hard mount,1,2010,Rokas Renewables,40.0048,25.5469,1293201693,7.4,8.59,41.14,4.712983131,6.926095963,-5.693741203,147.4942,11
Romania,59,1,484,Onshore,0,2020,Nero Renewables,45.9852,24.6859,657756000,4.003333333,N/A,N/A,2.631073112,-7.4,-3.674384409,46.73607,12
France,60,0,480,Offshore hard mount,0,2022,EDF,47.2146,-2.2724,1240273280,7.505,2.48,6.47,5.222367,23.73546019,2.570840474,111.9513,19
Norway,61,0,480,Onshore,1,2019,Fred Olsen Renewables AB,61.2733,6.0403,652320000,4.216666667,N/A,N/A,2.167999983,0.128422707,1.123777874,40.55646,21
Finland,62,0,480,Offshore hard mount,1,2011,WPD,65.2682,24.6066,1245563840,5.82,6.44,8.22,3.416808844,6.308496952,2.390394726,52.02443,21
Germany,63,0,450,Offshore hard mount,0,2019,Gulf Energy Development PCL ; Orsted ; Keppel Infrastructure Trust (KIT) ; Keppel CORP,53.9665,6.5493,1208422350,8.95,38.94,26.46,1.345999956,1.315006018,0.987893349,58.55613,21
Poland,64,0,450,Offshore hard mount,1,2013,Energetyka Polska,55.0648,17.8488,1220542650,7.796666667,27.06,35.21,0.991986692,1.963978171,0.684240607,57.11583,15
Croatia,65,0,448,Offshore floating,1,2012,Blue H Technologies BV,43.4741,15.5986,1741824000,5.59,16.56,188.58,3.412730455,10.8,-2.253745581,69.01824,11
Estonia,66,1,420,Offshore hard mount,1,2014,Baltic Blue Energy OU,58.5709,22.0401,1090826940,7.93,7.26,26.3,-0.106180392,-1.426195145,3.322787536,10.45833,18
Denmark,67,1,407,Offshore hard mount,0,2018,Vattenfall AB,55.6825,7.7729,1074259406,9.063333333,22.44,14.97,0.81,1.175891161,1.860007489,34.14801,21
United Kingdom,68,1,402,Offshore hard mount,0,2017,Equinor ASA; Masdar; China Resources (Holdings) CO LTD,53.1175,0.6135,1052524909,7.573333333,14.81,8.46,2.683,2.041315317,2.656504893,86.72315,19
United Kingdom,69,1,400,Offshore hard mount,0,2017,E.ON,50.6410,-0.1801,1076298467,8.086666667,19.31,40.41,2.683,2.041315317,2.656504893,86.72315,19
Sweden,70,0,400,Offshore hard mount,1,2014,ReWind Offshore AB,57.4127,16.8684,1040831133,5.873333333,9.01,29.24,-0.179638565,3.430000067,2.295763809,45.20099,21
United Kingdom,71,0,400,Offshore hard mount,1,2014,Orsted; B9; Renewable Energy Systems (RES),54.0860,-5.6340,1072156867,8.54,15.59,42.27,1.425663471,1.997074246,3.194637313,87.09433,21
Denmark,72,0,400,Offshore hard mount,0,2013,Orsted ; PKA ; Pension Danmark,56.5897,11.1827,1053712400,8.063333333,20.58,15.14,0.789073348,1.976181746,1.39267347,43.91183,21
Norway,73,0,400,Onshore,1,2004,Norsk Miljokraft AS,70.9827,27.4465,543600000,8.136666667,N/A,N/A,0.454491556,0.240770549,4.014588017,43.82903,21
Norway,74,0,400,Onshore,0,2022,Aquila Capital,65.8503,13.0094,543600000,5.8,N/A,N/A,5.764123,27.03541505,3.005635161,36.27051,21
Croatia,75,0,392,Offshore floating,1,2012,Blue H Technologies BV,42.5830,17.5444,1522776267,5.476666667,15.55,184.78,3.412730455,10.8,-2.253745581,69.01824,11
United Kingdom,76,0,389,Offshore hard mount,0,2014,ScottishPower Renewables,53.9851,-3.4620,1021562949,8.75,17.65,18.2,1.425663471,1.997074246,3.194637313,87.09433,21
Netherlands,77,1,385,Offshore hard mount,0,2023,BASF SE; Vattenfall AB ; Allianz SE,52.5540,4.3374,1010297622,8.27,16.94,18.76,3.838393543,-22.05954498,0.074560722,45.02355,21
Netherlands,78,1,385,Offshore hard mount,0,2023,BASF SE; Vattenfall AB ; Allianz SE,52.6705,3.9456,1041309243,8.56,45.88,23.61,3.838393543,-22.05954498,0.074560722,45.02355,21
Germany,79,0,384,Offshore hard mount,0,2019,E.ON,54.7800,14.1200,1029487680,8.313333333,37.35,28.47,1.345999956,1.315006018,0.987893349,58.55613,21
Germany,80,0,384,Offshore hard mount,1,2001,Orsted,54.9054,7.1813,1065623808,9.23,71.16,25.45,1.983850956,2.450403214,1.636541013,57.58368,21
Poland,81,0,383,Offshore hard mount,1,2018,RWE AG,54.8663,16.3316,1027947360,8.376666667,38.42,29.96,1.81,2.057223082,6.245858472,48.7089,15
Poland,82,1,383,Offshore hard mount,1,2014,RWE AG,54.5520,15.3515,1055521892,8.07,42.73,50.26,0.053822465,1.556987166,3.920508624,51.38972,15
Netherlands,83,1,380,Offshore hard mount,0,2021,INPEX Corp; Octopus ; Royal Van Oord ; Diamond Generating ; Luxcara GMBH; Eneco ; Royal Dutch Shell PLC  ; Nuveen Infrastructure,52.6878,4.2486,1006494917,8.323333333,25.75,21.47,2.67572,17.2592,6.276830732,50.43565,21
Estonia,84,0,380,Offshore hard mount,1,2019,Tuuletraal OU,58.1101,23.3401,1012470733,8.023333333,31.4,28.18,2.267999887,1.905961037,3.726653182,8.335891,18
Estonia,85,0,380,Offshore hard mount,1,2010,Neugrund OU,59.3208,23.5460,1010595370,7.653333333,8.07,42,2.97204113,2.943587303,2.449745916,6.66067,16
Finland,86,1,378,Onshore,0,2022,PROKON; Neoen,63.9008,23.9170,513702000,4.935,N/A,N/A,7.123507,30.69680686,1.450048073,73.94323,20
Norway,87,0,378,Onshore,1,2011,Statskog SF,64.7004,12.0490,513702000,5.083333333,N/A,N/A,1.284952641,0.927414358,1.105656027,29.61085,21
Netherlands,88,1,376,Offshore hard mount,0,2020,Norges Bank Investment Management; Orsted,51.7101,3.0001,1006229517,8.063333333,35.62,25.51,1.272460378,0.527492996,-3.867953393,53.33677,21
Netherlands,89,1,376,Offshore hard mount,0,2020,Norges Bank Investment Management; Orsted,51.6401,3.0701,997930508,8.063333333,27.69,23.01,1.272460378,0.527492996,-3.867953393,53.33677,21
Sweden,90,0,372,Onshore,0,2022,Enlight Renewable Energy; Prime Capital AG,62.3244,15.7484,505548000,4.065,N/A,N/A,8.369291,32.9286103,1.459288508,33.75297,21
Belgium,91,0,370,Offshore hard mount,0,2019,Eneco ; Elico,51.5281,3.0158,976063946.7,8.03,21.92,20.42,1.248999953,0.867344081,2.442890066,97.6178,20
Netherlands,92,1,360,Offshore hard mount,0,2021,INPEX Corp; Octopus ; Royal Van Oord ; Diamond Generating ; Luxcara GMBH; Eneco ; Royal Dutch Shell PLC  ; Nuveen Infrastructure,52.6878,4.2486,953521500,8.323333333,25.75,21.47,2.67572,17.2592,6.276830732,50.43565,21
Spain,93,0,356,Onshore,1,2008,Energias Renovables Mediterraneas SA,39.5482,-0.4655,483804000,5.05,N/A,N/A,4.07565403,6.641723633,0.767165775,39.6088,21
Sweden,94,0,353,Onshore,0,2022,Vestas; Vattenfall AB; AIP Management P/S,64.0250,18.1358,479727000,4.1,N/A,N/A,8.369291,32.9286103,1.459288508,33.75297,21
United Kingdom,95,1,353,Offshore hard mount,0,2018,RWE AG ; Siemens ; Equitix LTD ; Sumitomo Corp ; ESB Group,51.8810,2.0401,947969674.5,8.22,38.97,30.89,2.32,1.855871797,1.405190266,86.34547,19
Greece,96,0,350,Offshore hard mount,1,?,Minoika Thalassia Wind Park SA,35.5226,27.1025,923437083.3,,0.5,456.81,,,,,
Netherlands,97,1,350,Offshore hard mount,0,2023,BASF SE; Vattenfall AB ; Allianz SE,52.5540,4.3374,918452383.3,8.27,16.94,18.76,3.838393543,-22.05954498,0.074560722,45.02355,21
Germany,98,0,350,Offshore hard mount,0,2018,Iberdrola ; Energy Infrastructure Partners (EIP),54.8340,14.0680,960923016.7,8.363333333,38.98,35.08,1.73,1.753376603,1.116443109,60.72854,21
Estonia,99,1,350,Offshore hard mount,1,2014,Baltic Blue Energy OU,58.6063,22.1320,909655658.3,7.93,7.91,28.92,-0.106180392,-1.426195145,3.322787536,10.45833,18
Serbia,100,0,350,Onshore,1,2014,Wind Alliance Group,44.9001,20.8765,475650000,5.176666667,N/A,N/A,2.101441383,#N/A,-1.804270248,66.2417,9
United Kingdom,101,1,350,Onshore,0,2012,Scottish and Southern Energy (SSE),55.4416,-3.5427,475650000,7.58,N/A,N/A,2.564104319,2.724234581,1.508998374,84.4826,21
Netherlands,102,0,350,Offshore hard mount,0,2009,NUON,52.4661,3.9651,939689216.7,8.346666667,38.74,21.05,1.189783454,1.801511645,-3.665290445,56.28978,21
Norway,103,1,350,Offshore hard mount,1,2008,Havgul Nordic AS,62.8041,6.3646,924401508.3,7.593333333,1.49,36.08,3.753922939,6.826536655,0.481919541,47.54502,21
Norway,104,1,350,Offshore hard mount,1,2008,Havgul Nordic AS,63.1719,7.2042,929603558.3,5.38,6.83,113.47,3.753922939,6.826536655,0.481919541,47.54502,21
Norway,105,0,350,Onshore,1,2004,Varanger Kraft AS,70.4484,30.5948,475650000,8.183333333,N/A,N/A,0.454491556,0.240770549,4.014588017,43.82903,21
Netherlands,106,0,349,Offshore hard mount,1,2009,Orsted,52.5316,3.7829,949593518.3,8.346666667,51.7,22.84,1.189783454,1.801511645,-3.665290445,56.28978,21
Germany,107,0,342,Offshore hard mount,0,2022,RWE AG,54.4900,7.7000,914279259,8.915,34.61,21.63,6.872574,35.04750171,1.369731055,64.78936,21
United Kingdom,108,1,340,Offshore hard mount,1,2010,Vattenfall AB,51.4206,1.5927,886608593.3,8.07,11.02,19.28,2.502840519,-0.361241519,2.233315126,75.86023,21
Germany,109,0,332,Offshore hard mount,0,2017,RWE AG,54.4440,7.6820,883470813.3,8.723333333,30.2,22.67,1.711,1.241764545,2.716024519,63.95238,21
Germany,110,1,330,Offshore hard mount,0,2017,Orsted ; Glennmont Partners ; Renewables Infrastructure Group LTD (TRIG),54.0160,6.9830,882888160,8.613333333,35.36,29.25,1.711,1.241764545,2.716024519,63.95238,21
Spain,111,0,329.2,Onshore,0,2022,Enlight Renewable Energy,39.4826,-2.1680,447382800,5.67,N/A,N/A,8.390576,29.4164652,6.179312226,109.4039,16
Netherlands,112,0,325,Offshore hard mount,1,2006,Evelop UK LTD,52.2648,3.6519,872487145.8,8.593333333,38.65,20.7,1.101507187,3.881190062,3.537375219,44.96037,21
Denmark,113,0,320,Offshore hard mount,1,2014,European Energy A/S,55.0879,11.3805,829431786.7,8.26,5.38,9.77,0.564021528,1.497840524,1.277999794,44.29045,21
Greece,114,0,317.4,Onshore,1,?,Niata Wind SA,36.8462,25.9082,431346600,,N/A,N/A,,,,,
United Kingdom,115,1,317,Offshore hard mount,0,2012,Equitix LTD ; Vattenfall AB,53.1353,1.1479,834493571.2,8.016666667,19.93,15.86,2.564104319,2.724234581,1.508998374,84.4826,21
United Kingdom,116,1,316,Offshore hard mount,0,2022,INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix LTD; Kansai Electric Power Co; China Three Gorges Corp,57.9673,-2.7905,859000759.3,8.685,29.23,73.2,7.9,46.66091283,4.839085147,100.4323,18
United Kingdom,117,1,316,Offshore hard mount,0,2022,INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix LTD; Kansai Electric Power Co; China Three Gorges Corp,57.9673,-2.7905,859000759.3,8.685,29.23,73.2,7.9,46.66091283,4.839085147,100.4323,18
United Kingdom,118,1,316,Offshore hard mount,0,2022,INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix LTD; Kansai Electric Power Co; China Three Gorges Corp,57.9673,-2.7905,859000759.3,8.685,29.23,73.2,7.9,46.66091283,4.839085147,100.4323,18
Germany,119,0,312,Offshore hard mount,0,2015,Orsted ; William Demant Invest A/S ; Kirkbi Invest AS,53.9741,6.4912,839923656,8.883333333,41.34,26.88,0.514420152,-0.414969653,1.652719772,70.55988,21
Norway,120,0,310,Onshore,1,2014,Nord-Norsk Vindkraft AS,66.2987,13.3359,421290000,6.086666667,N/A,N/A,2.041705608,1.291266203,2.048131999,29.66098,21
Estonia,121,0,310,Onshore,1,2008,Greta Energy,59.0919,22.5842,421290000,8.046666667,N/A,N/A,10.36235237,15.80517769,-5.125312709,4.509318,17
Belgium,122,0,309,Offshore hard mount,0,2018,Aspiravi ; Socofe SA ; Rent-A-Port Green Energy NV ; Electrawinds Offshore ; Power@Sea ; DEME Group ; Z-Kratch ; SRIW Environment,51.5900,2.9400,822576128,7.81,30.56,23.13,2.05,3.044097424,1.877968572,99.85589,20
Sweden,123,1,308.5,Onshore,0,2022,E.ON ; Credit Suisse Energy Infrastructure Partners (CSEIP),62.7681,17.2968,419251500,4.12,N/A,N/A,8.369291,32.9286103,1.459288508,33.75297,21
Norway,124,0,305,Onshore,1,2014,Fred Olsen Renewables AB,65.7731,13.4379,414495000,5.77,N/A,N/A,2.041705608,1.291266203,2.048131999,29.66098,21
Germany,125,0,302,Offshore hard mount,0,2015,RWE AG,54.5200,7.7080,809909740.7,8.983333333,37.66,20.99,0.514420152,-0.414969653,1.652719772,70.55988,21
Netherlands,126,0,301,Onshore,0,2020,A.S.R. Real Estate; Vattenfall AB,52.8173,4.9229,409059000,8.273333333,N/A,N/A,1.272460378,0.527492996,-3.867953393,53.33677,21
Greece,127,0,300,Offshore hard mount,1,?,Kyon LLC,38.6050,24.1887,795099650,,4.79,152.44,,,,,
United Kingdom,128,0,300,Offshore floating,1,2021,TotalEnergies; Simply Blue Energy LTD,51.3601,-5.7101,1193870000,8.923333333,44.03,77.68,2.5,9.108159,8.575950905,105.196,20
Spain,129,0,300,Offshore floating,1,2021,Bluefloat Energy; SENER,36.8684,-1.8926,1157260000,5.276666667,7.42,214.91,3.093135,21.23588,6.683144185,115.5939,16
Norway,130,0,300,Onshore,1,2020,Finnmark Kraft AS,70.7509,24.8482,407700000,7.666666667,N/A,N/A,1.286584907,-3.487698987,-1.278171785,46.1091,21
United Kingdom,131,0,300,Onshore,1,2017,Community Windpower,55.2870,-2.6801,407700000,7.573333333,N/A,N/A,2.683,2.041315317,2.656504893,86.72315,19
Sweden,132,0,300,Onshore,1,2016,Arise AB; Foresight Group,61.9428,15.1607,407700000,4.133333333,N/A,N/A,0.984268188,4.590000153,2.349740804,42.37349,21
Norway,133,0,300,Onshore,1,2015,Blaberg Wind Power AS,58.4649,7.1172,407700000,5.143333333,N/A,N/A,2.171136618,1.300126076,1.857339726,34.33425,21
Sweden,134,0,300,Offshore hard mount,1,2012,Vattenfall AB,55.9319,14.4844,776122700,6.843333333,3.62,9.1,0.888376236,0,-0.414465721,37.68633,21
Romania,135,1,300,Onshore,0,2012,ProWind GMBH,45.9852,24.6859,407700000,3.933333333,N/A,N/A,3.337636948,6.9,1.903616968,35.37141,12
United Kingdom,136,1,300,Offshore hard mount,0,2010,Vattenfall AB,51.4299,1.6334,784823400,8.07,14.04,22.24,2.502840519,-0.361241519,2.233315126,75.86023,21
Norway,137,1,300,Offshore hard mount,1,2008,Havgul Nordic AS,62.9592,6.6699,795400250,6.306666667,5.15,124.13,3.753922939,6.826536655,0.481919541,47.54502,21
Norway,138,0,300,Offshore hard mount,1,2008,Lyse Produksjon AS,59.2398,4.9668,795283350,7.91,5.01,148.21,3.753922939,6.826536655,0.481919541,47.54502,21
Norway,139,0,300,Onshore,1,2007,Statkraft AS,63.6649,9.9754,407700000,4.766666667,N/A,N/A,0.712596357,-0.869917691,2.914039986,49.51508,21
Norway,140,0,290,Onshore,1,2010,Statkraft AS,63.4342,9.3537,394110000,5.033333333,N/A,N/A,2.418909788,5.216736317,0.787051845,42.9516,21
Ukraine,141,0,288,Onshore,1,2021,Goldwind,46.6254,31.5422,391392000,6.276666667,N/A,N/A,9.360625036,23.16,3.445620657,48.92479,6
Sweden,142,0,288,Onshore,0,2020,Vasa Vind,63.5542,15.0532,391392000,4.33,N/A,N/A,0.497367319,-0.12742566,-2.005337504,40.31189,21
Norway,143,0,288,Onshore,0,2019,TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA,63.8902,10.2019,391392000,5.806666667,N/A,N/A,2.167999983,0.128422707,1.123777874,40.55646,21
Germany,144,0,288,Offshore hard mount,0,2016,Vattenfall AB,55.1900,6.8600,812075520,9.163333333,87.2,32.83,0.491744995,0,2.294710677,67.63065,21
Sweden,145,0,288,Onshore,0,2015,Statkraft AS,63.4722,16.1034,391392000,3.97,N/A,N/A,-0.046784438,4.599999905,4.410140676,44.03559,21
Germany,146,0,288,Offshore hard mount,0,2015,Greencoat ; Octopus Group Ltd ; Marguerite Fund,55.0190,7.7740,770785104,9.16,35.69,18.84,0.514420152,-0.414969653,1.652719772,70.55988,21
